month,year,Title
mar,2014,"Supervisor, Consumer Protection and Financial Education Centre"
mar,2014,Logistics/ Freight Forwarding Manager
mar,2014,English Language Courses
mar,2014,"Forex Operations Subdivision First Class Specialist, Financial"
mar,2014,.NET Developer
mar,2014,Database Developer (MS SQL)
mar,2014,Receptionist/ Administrative Assistant
mar,2014,Corporate Assistant/ Lawyer
mar,2014,Economic Justice Programme Officer
mar,2014,Construction Engineer
mar,2014,Senior PHP Developer
mar,2014,Service Support Engineer
mar,2014,Local Expert on Economic Assessment and Financial Mechanisms
mar,2014,Finance Department Specialist
mar,2014,Administrative Assistant
mar,2014,Head of Contracts and Legal Analysis Unit under Legal Department
mar,2014,Web Design and Development Workshop Leader and Educational
mar,2014,Robotics Workshop Leader
mar,2014,Video Game Workshop Leader and Educational Content Developer
mar,2014,Java Developer
mar,2014,Project Assistant
mar,2014,DAFI Education Officer
mar,2014,Finance Assistant/ Cashier
mar,2014,Head of Corporate Key Clients and State Bodies Cooperation Group
mar,2014,Partnerships for Protection Project Coordinator
mar,2014,Senior Project Officer
mar,2014,Senior Web Developer
mar,2014,Web Designer/ Developer
mar,2014,Marketing Methodology Developer
mar,2014,Administrative Assistant in Technical Department
mar,2014,"Service Coordinator, Kajaran Branch"
mar,2014,Real Estate Agent
mar,2014,Market Research Analyst
mar,2014,Graduate Trainee for Financial Department
mar,2014,Graduate Trainee for Technical Department
mar,2014,Mechanical Engineer
mar,2014,"Mill, Crusher and Conveyer Operator"
mar,2014,Flotator
mar,2014,Technical Support Operator
mar,2014,Senior Manager of Member Service and Program Development and
mar,2014,Process Engineer
mar,2014,Electrical and Instrumentation Technician
mar,2014,Web Designer/ Developer
mar,2014,Retail Marketing Manager
mar,2014,Chief Financial Officer (CFO)
mar,2014,"First Class Specialist, IFI Cooperation and Investor Relations"
mar,2014,Graduate Trainee for Commercial Department
mar,2014,Electrical Engineer
mar,2014,Web Developer
mar,2014,Information Base Security Officer
mar,2014,QA Analyst
mar,2014,"Second Class Specialist, IFI Cooperation and Investor Relations"
mar,2014,Graduate Trainee for HR Department
mar,2014,Graduate Trainee for IT Department
mar,2014,Call Center Consultant
mar,2014,Information Security Officer
mar,2014,Chambarak ADP Sponsorship Assistant/ Translator
mar,2014,Expert in the Field of Quality Infrastructure and Technical
mar,2014,Engineering and Client Manager
mar,2014,Ijevan Branch Manager
mar,2014,Internet Marketing Manager
mar,2014,
mar,2014,National Expert on Forced Labour and Anti-Trafficking
mar,2014,QA Engineer/ Tester
mar,2014,Financial Specialist
mar,2014,Marketing and PR Senior Specialist
mar,2014,SEO Specialist
mar,2014,Consultant
mar,2014,Transport Manager
mar,2014,Technical Support Representative
mar,2014,Solution Sales Manager
mar,2014,Marketing Expert
mar,2014,Driver
mar,2014,Head of Procurement and Contract Administration Department
mar,2014,Data Management Specialist
mar,2014,UNIX System Administrator
mar,2014,Software Developer in Test
mar,2014,Executive Assistant
mar,2014,Business Intelligence Database Administrator
mar,2014,Billing Analyst
mar,2014,Teaching English as a Foreign Language (TEFL) Technical Trainer
mar,2014,Senior Accountant
mar,2014,Workshop on Freedom of Expression and Freedom of Religion and
mar,2014,Legal Adviser
mar,2014,Salesperson/ Cashier
mar,2014,Database Development Team Leader/ Fraud and Revenue Assurance
mar,2014,Internal Auditor
mar,2014,Web Developer
mar,2014,Accountant
mar,2014,Senior Software Engineer
mar,2014,Human Resources Manager
mar,2014,"Teaching
English as a Foreign Language (TEFL) Technical Trainer and TEFL"
mar,2014,Winemaker
mar,2014,Java Developer
mar,2014,"Quality Assurance Engineer, Validation Department"
apr,2014,Chief Accountant
apr,2014,Marketing Specialist
apr,2014,Deputy Director for Finance
apr,2014,VoIP Hosting Services Developer
apr,2014,Rental Agent
apr,2014,"Senior QA Engineer, Validation Department"
apr,2014,"Lead Software Engineer, Design to Silicon Division"
apr,2014,Deputy Director for Medical Affairs
apr,2014,Project Manager
apr,2014,Engineer
apr,2014,Chemical Technologist
apr,2014,Administrative Assistant
apr,2014,Sales Manager of Special Equipment
apr,2014,Operations Analyst
apr,2014,Healthcare and Social Programs Officer
apr,2014,Office Manager
apr,2014,Software Engineer
apr,2014,Kotayk Childrens Village Programme Director
apr,2014,Head of Health Department
apr,2014,Ground Truthing Specialist
apr,2014,Secretary-Referent
apr,2014,Quality Assurance Engineer
apr,2014,Head of Marketing Division
apr,2014,Chief of Diagnostic and Consultation Department
apr,2014,Design Group Leader
apr,2014,Component Team Leader
apr,2014,Gyumri Branch Manager
apr,2014,Equipment Manager/ Controller
apr,2014,Sales Representative
apr,2014,WPF Developer
apr,2014,Sales Manager
apr,2014,Brand Manager
apr,2014,Researcher
apr,2014,Project Manager
apr,2014,Telecom Engineer
apr,2014,C++ Software Developer
apr,2014,Translator/ Interpreter
apr,2014,Senior .NET Developer
apr,2014,Flash/ Flex OOP Developer
apr,2014,iOS Developer
apr,2014,Accountant
apr,2014,Tax Audit Specialist
apr,2014,Office Manager
apr,2014,Software Developer
apr,2014,Pre-Service Training Home Stay Coordinator
apr,2014,Driver
apr,2014,Marketing Coordinator
apr,2014,Project Manager
apr,2014,Assistant to Notary
apr,2014,Head of Problem Loans Management Group
apr,2014,Logistics Specialist
apr,2014,Secretary-Referent
apr,2014,Systems Administrator
apr,2014,Executive Assistant
apr,2014,Administrator/ Coordinator
apr,2014,Senior Java Developer
apr,2014,English Language Specialist
apr,2014,Project Officer
apr,2014,English Language Interpreter
apr,2014,Call Center Agent
apr,2014,Software Developer
apr,2014,Contractor/ Intern
apr,2014,QA Manager
apr,2014,Branch Manager
apr,2014,IT Auditor
apr,2014,Securities Market Specialist
apr,2014,Specialist of Brokerage Services in Securities Market
apr,2014,Deputy Chief Executive Officer/ Senior Adviser
apr,2014,Accountant
apr,2014,High School Specialist
apr,2014,Procurement Specialist
apr,2014,Sales and Marketing Manager
apr,2014,Public Relations Coordinator
apr,2014,Administrator/ Coordinator
apr,2014,Social Specialist
apr,2014,Financial Assistant
apr,2014,Senior Web Developer
apr,2014,Head of ICT Component
apr,2014,Front Desk Administrator
apr,2014,SQA Intern
apr,2014,Designer
apr,2014,Higher Education Financing Specialist
apr,2014,Waiter/ Waitress
apr,2014,Specialist in Marketing Department
apr,2014,Senior QA Engineer
apr,2014,Legal/ Contract Administration Specialist
apr,2014,Senior Programme Assistant
apr,2014,Import and Logistics Specialist
apr,2014,Chief Accountant
apr,2014,Marketing Specialist
apr,2014,Project Analyst
apr,2014,Business Inspections Reform Consultant
apr,2014,Food Safety Regulatory Reform Consultant
apr,2014,Program/ Finance Officer
apr,2014,Category Manager
apr,2014,Programmer
apr,2014,Project Geologist
apr,2014,Senior Specialist in Retail Credit Risks Management Group
apr,2014,Tax Reform Consultant
apr,2014,Real Estate Sales Agent
apr,2014,Administrative Assistant/ Translator
apr,2014,Investment Policy Consultant
apr,2014,Program/ Finance Officer
apr,2014,Consultant for UNDAF Country Analysis
apr,2014,Senior PHP Developer
apr,2014,Generation A
apr,2014,iOS Developer
apr,2014,Loan Analyst
apr,2014,Website Editor
apr,2014,Senior Software Developer in C++/ CGI
apr,2014,QA Engineer
apr,2014,Systems Administrator
apr,2014,Brand Manager
apr,2014,F&B Manager
apr,2014,Sales Manager
apr,2014,"""3rd Generation"" Internship Program"
apr,2014,Java Software Developer
apr,2014,Tour and Travel German Language Agent
apr,2014,Manual QA Engineer
apr,2014,Marketing Specialist
apr,2014,Marketing Specialist
apr,2014,Data and Business Intelligence Specialist
apr,2014,Android Developer
apr,2014,HR Administrator
apr,2014,Senior Teller
apr,2014,Frontend Developer (ASP.NET MVC)
apr,2014,C#/ .NET Backend Developer
apr,2014,Lawyer
apr,2014,Chief Specialist of Internal Accounting Team
apr,2014,Medical Representative
apr,2014,Head of Customer Service Unit
apr,2014,Senior Cashier/ Head of Cash Hub
apr,2014,Senior Client Manager
apr,2014,Head of Operational Unit
apr,2014,Credit Officer
apr,2014,Store Director
apr,2014,Accountant
apr,2014,Customer Technical Support Team Leader (Call Center)
apr,2014,Product Manager
apr,2014,Head of Network Infrastructures Solution Division
apr,2014,Information Security Specialist
apr,2014,Zend/ PHP Developer
apr,2014,"Technical Marketing Engineer, Design to Silicon Division"
apr,2014,"Technical Documentation Specialist, Deep Submicron Department"
apr,2014,Account Manager
apr,2014,C# Senior Specialist
apr,2014,Artist - Animator
apr,2014,Vocational Training Expert - Technical Assistance to Small
apr,2014,Restaurant Manager
apr,2014,
apr,2014,Veterinary Assistant
apr,2014,Kotayk Childrens Village Programme Director
apr,2014,Nor Nork Area Responsible
apr,2014,Senior Loan Officer
apr,2014,Service Administrator
apr,2014,Vocational Training Expert - Technical Assistance to Mission
apr,2014,Corporate Sales Specialist
apr,2014,Junior Web and Mobile QA Analyst
apr,2014,Master's Program in English for Future Business Executives (MAB)
apr,2014,Java Software Engineer
apr,2014,Receptionist
apr,2014,Head of Liquidity and Market Risks Management Division
apr,2014,Marketing Senior Specialist
apr,2014,Manual QA Lead
apr,2014,Assistant to the Regional Manager
apr,2014,Office Manager
apr,2014,Marketing Specialist
may,2014,Receptionist/ Administrative Assistant
may,2014,Brand Management Training
may,2014,Leading Specialist on Internal Control and Risk Management
may,2014,Cleaner
may,2014,Institutional Specialist
may,2014,Risk Manager
may,2014,"Quality Assurance Engineer, Validation Department"
may,2014,"Senior QA Engineer, Validation Department"
may,2014,Senior PHP Developer
may,2014,PHP Web Developer
may,2014,Design and Development Intern
may,2014,Server Side Software Engineer
may,2014,UI/ UX Designer
may,2014,Secretary-Referent
may,2014,Project Coordinator
may,2014,Medical Representative
may,2014,Tax Consultant
may,2014,Marketing Methodology Developer
may,2014,Technical Specialist
may,2014,Data Quality Developer
may,2014,Proposal Writer
may,2014,Junior Software Developer for Unix (Intern)
may,2014,"Lead Software Engineer, Design to Silicon Division"
may,2014,Sales and Marketing Manager
may,2014,"Senior Software Engineer, Design to Silicon Division"
may,2014,"Senior Software Engineer, Deep Submicron Department"
may,2014,Accountant
may,2014,Designer
may,2014,Apprentice (Intern) Web Developer
may,2014,Merchandiser
may,2014,Mobile Developer
may,2014,Merchandiser
may,2014,Teller at Zvartnots Airport Branch
may,2014,Food and Beverage Supervisor
may,2014,Financial Controller
may,2014,Front-end Developer
may,2014,"Trainer for Implementation of ""Wood Tracking System through"
may,2014,Procurement Specialist
may,2014,Accountant
may,2014,Call Center Consultant
may,2014,Internet Technical Support Consultant
may,2014,Medical Representative
may,2014,Senior Software Engineer (MTS-4)
may,2014,Linux C++ Developer
may,2014,HR Manager
may,2014,Econometric Modelling Experts
may,2014,"Director, Program Implementation Unit"
may,2014,Credit Officer
may,2014,Brand Manager
may,2014,Software Engineer/ UI Developer
may,2014,General Manager
may,2014,Stores Director
may,2014,Higher Education Financing Specialist
may,2014,Co-ordinator of Econometric Modelling Project
may,2014,Executive Director
may,2014,Auditor
may,2014,Chief Financial Officer
may,2014,Head of ICT Component
may,2014,High School Specialist
may,2014,Senior Legal Adviser
may,2014,Senior Software Engineer
may,2014,Operations Manager
may,2014,Supply Manager/ Driver
may,2014,Corporate Sales Coordinator
may,2014,Marketing Assistant
may,2014,Waiter/ Waitress
may,2014,Inventory and Commodity Analyst
may,2014,Software Development Team Leader
may,2014,UI Web Engineer
may,2014,"Forex Operations Subdivision 1-st Class Specialist, Financial"
may,2014,Graphic Designer
may,2014,Sales Manager
may,2014,Telemarketer
may,2014,Back Office Operator
may,2014,Head of Procurement and Contract Administration Department
may,2014,Procurement Coordinator
may,2014,Store Manager
may,2014,User Experience Designer
may,2014,Shipping Supervisor
may,2014,Local Expert on GHG Mitigation Policy and Measures
may,2014,Database Developer
may,2014,PHP Web Developer
may,2014,Senior Financial Analyst/ Controller
may,2014,Senior Legal Adviser/ Deputy Head of Department
may,2014,Assistant Director/ Deputy Head of Department
may,2014,Accountant
may,2014,Sales Assistant/ Cashier
may,2014,MFC GUI Developer
may,2014,Chief Accountant
may,2014,Starting a Consulting Business
may,2014,Service Coordinator
may,2014,"Mid-term Evaluator of the Project ""HIV/ AIDS Prevention in Rural"
may,2014,Senior Javascript Developer
may,2014,Accountant
may,2014,Chief Specialist of Road Construction Projects Implementation
may,2014,Treasurer
may,2014,Area Manager
may,2014,Gender Policy Programme Officer
may,2014,Brand Manager
may,2014,Project Manager
may,2014,Legal Assistant
may,2014,Engineer/ Technical Writer
may,2014,Internal Audit Intern/ Assistant
may,2014,Corporate Customer Relationship Manager
may,2014,Controller
may,2014,SME Banking Unit Credit Specialist
may,2014,Pastry Shift Leader
may,2014,Senior QA Engineer
may,2014,Accountant
may,2014,Sales Assistant/ Cashier
may,2014,Project Accountant
may,2014,Senior .NET Developer
may,2014,Implementation Support Specialist
may,2014,Accounting and Tax Assistant
may,2014,C#. Net Developer
may,2014,Contractor/ Intern
may,2014,Project Coordinator
may,2014,Accounting Assistant
may,2014,Editor/ Translator
may,2014,Independent Contractor
may,2014,Team Leader/ National Expert on GHG Inventory Preparation
may,2014,Finance Manager
may,2014,AS Administrator
may,2014,Administrative/ HR Assistant
may,2014,Quality Assurance Engineer
may,2014,Sales Consultant
may,2014,Project Coordinator
may,2014,Project Assistant
may,2014,Engineer
